Area,Bedrooms,Bathrooms,Age,Price
3974,4,2,15,724789
1660,1,2,24,294453
2094,1,2,19,342412
1930,1,3,27,393635
1895,3,2,16,534578
3892,1,3,1,516811
2438,1,1,0,280320
2969,1,3,15,462166
1266,3,2,29,450101
2038,1,1,11,241099
1130,4,1,4,505690
2282,1,1,4,273592
2935,4,3,26,748493
3971,4,2,22,701652
3719,4,1,8,648728
930,3,1,8,416141
2485,3,1,2,510834
1569,3,3,18,589195
3191,1,3,15,465143
2315,4,2,15,623819
3653,3,3,2,722860
3233,3,1,19,522813
2015,1,2,23,332881
1755,3,1,21,418705
3124,1,1,23,280714
1984,2,3,0,515293
1259,3,2,23,476520
821,2,3,19,453327
3100,1,3,10,461538
1547,4,2,16,594079
3704,3,1,7,563877
1274,1,1,3,214984
1882,4,2,5,644351
3358,4,1,7,624933
2847,2,2,19,483824
3547,1,2,29,369651
1775,4,3,2,709940
2606,3,2,15,576554
989,3,3,29,540542
3805,2,1,24,419897
3534,4,1,2,637416
3805,1,1,24,332605
1362,3,1,28,403109
2699,4,3,17,738826
2067,4,1,13,543630
3679,2,2,17,490818
2328,3,2,1,556939
1446,3,2,21,477455
2868,1,3,2,449895
3688,3,1,15,527793
3014,1,1,28,289247
2097,3,1,8,470236
3235,2,3,3,575653
1400,3,2,0,532097
3163,1,2,3,396771
2861,1,1,0,309016
1041,2,2,13,396171
2841,3,2,20,570362
3624,3,3,15,686377
3412,2,3,19,578389
3745,3,3,23,688774
2163,3,3,7,607427
2939,1,1,6,322699
2190,3,3,2,626838
3803,3,2,16,598641
2278,2,1,0,396136
3356,2,2,15,489899
1575,4,2,11,611758
834,1,2,26,235751
3053,3,3,18,652256
3952,3,3,21,692799
2755,4,1,22,560626
2385,3,1,21,474843
3873,1,3,13,483292
1821,4,2,29,592752
3413,1,1,5,357884
1929,4,3,5,701029
2300,4,3,12,709987
1502,2,3,18,492667
3249,1,2,21,389890
3577,3,3,7,710583
2379,3,3,26,601969
961,1,3,26,332127
1001,3,3,1,579808
2781,3,1,20,485186
1795,1,1,29,209561
3117,4,3,0,778064
1615,1,2,27,284348
1255,4,1,14,525001
2075,3,3,0,646695
1816,3,1,4,465745
3143,3,1,27,496966
3567,2,2,28,498567
1137,4,3,15,647658
1678,2,3,18,467849
1876,2,2,3,420450
1591,1,2,2,330494
3064,2,3,16,568899
1563,1,3,16,368354
3035,1,2,11,366331
