CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,MonthlyCharges,TotalCharges,Churn
CUST0001,Male,0,Yes,No,14,Yes,DSL,47.24,4987.31,No
CUST0002,Female,0,No,No,50,Yes,No,64.51,2301.7,No
CUST0003,Male,0,No,No,17,Yes,Fiber optic,31.12,1713.75,Yes
CUST0004,Male,0,Yes,No,70,Yes,No,22.87,7868.95,No
CUST0005,Male,0,Yes,No,5,Yes,Fiber optic,93.2,3723.1,Yes
CUST0006,Male,1,Yes,Yes,43,Yes,No,92.41,4203.42,No
CUST0007,Male,0,No,No,64,No,DSL,89.43,5252.69,Yes
CUST0008,Female,1,Yes,No,35,Yes,No,108.45,698.31,No
CUST0009,Female,0,Yes,No,15,Yes,Fiber optic,48.66,3232.6,Yes
CUST0010,Male,0,Yes,Yes,56,Yes,No,62.36,7252.88,No
CUST0011,Female,0,Yes,No,70,No,Fiber optic,45.06,7551.42,Yes
CUST0012,Female,0,Yes,Yes,11,No,No,82.53,4012.57,No
CUST0013,Male,1,Yes,Yes,30,Yes,No,83.7,7148.48,No
CUST0014,Female,0,No,No,67,Yes,Fiber optic,60.78,4042.38,No
CUST0015,Male,0,No,No,9,Yes,DSL,113.51,7886.32,No
CUST0016,Female,0,No,Yes,15,Yes,DSL,68.85,6318.79,Yes
CUST0017,Male,0,No,No,7,No,DSL,111.76,6659.45,No
CUST0018,Female,0,No,Yes,4,No,No,93.05,1572.81,No
CUST0019,Female,0,Yes,No,32,Yes,Fiber optic,113.87,135.45,Yes
CUST0020,Male,0,No,No,12,Yes,No,95.77,4089.11,No
CUST0021,Male,0,Yes,No,30,Yes,Fiber optic,42.47,7864.16,Yes
CUST0022,Male,0,Yes,No,27,Yes,DSL,88.97,7741.34,No
CUST0023,Female,0,Yes,Yes,8,Yes,No,43.84,4952.07,No
CUST0024,Female,0,Yes,Yes,27,No,No,49.06,1558.78,No
CUST0025,Female,0,Yes,Yes,70,Yes,DSL,42.14,170.9,No
CUST0026,Male,0,Yes,No,49,Yes,Fiber optic,69.64,4022.29,No
CUST0027,Female,0,Yes,Yes,51,Yes,No,63.4,2485.39,Yes
CUST0028,Male,0,No,No,33,Yes,DSL,110.71,2760.63,No
CUST0029,Male,0,No,Yes,24,Yes,Fiber optic,79.31,6682.85,No
CUST0030,Male,0,Yes,No,23,No,No,55.98,805.82,No
CUST0031,Male,1,No,Yes,24,Yes,DSL,82.34,816.53,No
CUST0032,Female,0,Yes,No,62,Yes,No,54.15,3596.85,Yes
CUST0033,Female,0,No,Yes,41,Yes,Fiber optic,103.63,3366.16,Yes
CUST0034,Female,0,Yes,Yes,31,Yes,DSL,28.91,604.69,No
CUST0035,Male,0,No,No,3,Yes,No,41.87,4409.45,Yes
CUST0036,Male,0,No,No,20,Yes,DSL,29.41,3513.03,Yes
CUST0037,Female,1,No,Yes,28,Yes,DSL,106.72,7945.16,No
CUST0038,Male,1,Yes,Yes,37,Yes,DSL,47.21,622.08,No
CUST0039,Male,0,Yes,No,5,Yes,Fiber optic,119.47,1027.61,Yes
CUST0040,Female,1,No,Yes,16,Yes,DSL,35.19,1351.55,No
CUST0041,Male,0,No,Yes,23,Yes,Fiber optic,52.42,2666.4,No
CUST0042,Female,1,No,Yes,6,No,DSL,109.33,5349.53,No
CUST0043,Male,0,No,No,62,No,DSL,83.54,7735.39,Yes
CUST0044,Female,1,No,Yes,7,Yes,No,69.48,7270.77,Yes
CUST0045,Female,0,Yes,No,62,Yes,Fiber optic,36.38,3592.63,No
CUST0046,Female,1,Yes,No,18,Yes,Fiber optic,99.09,660.29,No
CUST0047,Male,0,Yes,No,41,Yes,Fiber optic,53.3,5195.01,No
CUST0048,Male,0,No,Yes,46,No,DSL,95.31,3399.66,No
CUST0049,Male,0,Yes,No,3,Yes,Fiber optic,78.28,284.37,No
CUST0050,Male,0,No,No,51,Yes,No,81.67,6557.26,No
CUST0051,Female,0,No,No,7,Yes,Fiber optic,52.53,4281.12,No
CUST0052,Female,0,No,No,1,Yes,No,27.5,3559.19,No
CUST0053,Male,0,Yes,No,70,Yes,Fiber optic,79.53,5816.8,Yes
CUST0054,Male,0,No,No,64,No,No,94.35,6879.61,No
CUST0055,Female,0,No,No,30,Yes,DSL,77.61,7464.65,No
CUST0056,Male,1,No,Yes,67,Yes,DSL,80.12,2719.82,No
CUST0057,Female,0,No,No,51,Yes,Fiber optic,89.74,1552.22,No
CUST0058,Male,0,No,Yes,5,Yes,DSL,24.48,2709.44,Yes
CUST0059,Male,0,No,No,43,No,No,42.37,7812.81,Yes
CUST0060,Female,0,No,No,23,Yes,Fiber optic,81.39,877.98,No
CUST0061,Male,0,Yes,No,56,Yes,DSL,33.56,7607.27,No
CUST0062,Female,0,No,No,27,Yes,Fiber optic,47.03,4985.89,Yes
CUST0063,Male,0,No,No,4,Yes,No,24.5,176.49,Yes
CUST0064,Female,0,No,Yes,69,Yes,Fiber optic,41.53,6887.25,No
CUST0065,Male,0,Yes,Yes,33,Yes,Fiber optic,21.16,5481.34,No
CUST0066,Male,1,No,No,71,Yes,DSL,101.83,1242.55,No
CUST0067,Male,0,No,No,20,No,No,78.78,2796.67,No
CUST0068,Male,1,Yes,No,35,Yes,No,74.67,6995.77,No
CUST0069,Female,0,Yes,Yes,48,Yes,DSL,20.56,5856.23,Yes
CUST0070,Male,0,No,No,17,Yes,No,105.01,2617.39,No
CUST0071,Male,0,Yes,No,7,Yes,Fiber optic,20.01,6374.29,No
CUST0072,Female,0,Yes,No,48,Yes,DSL,98.73,2112.97,No
CUST0073,Female,1,No,Yes,40,Yes,Fiber optic,41.9,4440.4,Yes
CUST0074,Female,0,Yes,No,34,Yes,DSL,102.02,7475.17,Yes
CUST0075,Female,0,Yes,Yes,11,Yes,DSL,32.91,3546.14,No
CUST0076,Male,0,Yes,Yes,16,Yes,Fiber optic,74.73,4494.36,No
CUST0077,Male,0,Yes,No,19,Yes,DSL,22.95,6231.94,No
CUST0078,Male,1,No,No,9,Yes,DSL,75.47,1709.52,No
CUST0079,Male,0,No,Yes,29,Yes,Fiber optic,33.3,3647.56,Yes
CUST0080,Female,1,No,No,2,No,DSL,100.61,7368.43,No
CUST0081,Female,0,No,Yes,40,Yes,Fiber optic,43.62,5249.56,No
CUST0082,Male,1,No,No,56,Yes,No,31.59,5640.91,No
CUST0083,Male,0,Yes,No,7,Yes,No,23.04,7701.73,Yes
CUST0084,Male,0,No,No,57,No,Fiber optic,77.41,4752.34,Yes
CUST0085,Male,0,Yes,No,36,Yes,DSL,86.2,6977.25,No
CUST0086,Female,0,No,No,23,Yes,Fiber optic,109.48,7940.17,No
CUST0087,Male,0,No,No,28,Yes,No,26.18,5442.46,Yes
CUST0088,Female,0,No,Yes,36,Yes,Fiber optic,59.19,5509.76,No
CUST0089,Female,0,No,No,9,Yes,Fiber optic,36.31,1530.13,No
CUST0090,Male,0,No,Yes,67,Yes,No,70.22,3758.26,No
CUST0091,Female,1,Yes,No,60,No,Fiber optic,43.84,5928.86,Yes
CUST0092,Female,1,Yes,Yes,55,Yes,Fiber optic,61.1,2806.38,No
CUST0093,Female,0,No,Yes,10,Yes,Fiber optic,56.86,1022.98,No
CUST0094,Male,0,No,Yes,36,Yes,Fiber optic,89.0,265.3,Yes
CUST0095,Female,0,No,Yes,1,Yes,Fiber optic,94.19,5382.96,No
CUST0096,Female,0,No,No,65,Yes,No,62.47,362.87,No
CUST0097,Female,0,Yes,No,27,Yes,DSL,44.4,3957.18,No
CUST0098,Male,0,Yes,Yes,31,Yes,Fiber optic,99.47,7073.41,No
CUST0099,Male,1,No,No,67,Yes,No,104.8,6609.56,No
CUST0100,Male,0,No,No,43,Yes,Fiber optic,74.0,5783.11,No
CUST0101,Female,0,Yes,No,33,Yes,No,44.96,6892.03,No
CUST0102,Male,1,Yes,Yes,6,Yes,Fiber optic,98.39,6012.64,No
CUST0103,Male,0,No,Yes,26,Yes,DSL,55.6,243.51,Yes
CUST0104,Female,0,Yes,Yes,43,Yes,Fiber optic,111.87,3822.64,Yes
CUST0105,Female,0,No,No,52,Yes,DSL,46.67,215.96,Yes
CUST0106,Female,0,No,Yes,24,Yes,Fiber optic,114.03,4485.05,No
CUST0107,Male,0,Yes,No,20,Yes,DSL,62.79,1965.75,Yes
CUST0108,Female,0,No,Yes,52,Yes,No,95.33,3584.75,No
CUST0109,Female,0,No,Yes,52,Yes,No,40.89,1711.76,No
CUST0110,Male,0,No,Yes,42,Yes,Fiber optic,82.48,6572.17,Yes
CUST0111,Male,0,No,Yes,54,Yes,DSL,78.22,1556.13,No
CUST0112,Female,0,No,Yes,64,Yes,Fiber optic,62.03,2678.3,No
CUST0113,Female,0,No,No,29,Yes,Fiber optic,93.54,219.89,No
CUST0114,Male,0,No,No,29,Yes,Fiber optic,101.8,2545.71,No
CUST0115,Female,0,No,Yes,41,Yes,No,92.73,307.26,No
CUST0116,Female,0,Yes,Yes,54,Yes,Fiber optic,101.31,3654.89,No
CUST0117,Female,0,Yes,Yes,47,Yes,No,94.52,312.97,Yes
CUST0118,Female,0,No,No,16,No,Fiber optic,34.96,3166.53,No
CUST0119,Female,0,Yes,No,68,No,No,97.24,4891.68,Yes
CUST0120,Female,0,No,Yes,54,No,Fiber optic,39.07,7289.15,Yes
CUST0121,Female,1,Yes,Yes,44,No,Fiber optic,29.92,4473.92,No
CUST0122,Male,0,Yes,No,64,Yes,No,110.16,4169.22,Yes
CUST0123,Female,0,Yes,No,54,Yes,No,79.82,472.97,No
CUST0124,Female,0,No,Yes,11,Yes,DSL,37.65,3056.62,No
CUST0125,Female,0,No,No,1,Yes,Fiber optic,83.62,3209.41,No
CUST0126,Female,0,Yes,No,47,No,Fiber optic,53.28,2656.97,No
CUST0127,Male,0,Yes,No,72,No,DSL,34.15,7124.86,No
CUST0128,Male,0,No,No,6,Yes,No,99.95,3226.47,No
CUST0129,Male,0,Yes,Yes,53,Yes,No,31.0,1766.34,No
CUST0130,Female,0,Yes,No,15,Yes,DSL,116.25,6301.63,No
CUST0131,Female,0,No,No,39,Yes,Fiber optic,97.19,6518.95,No
CUST0132,Male,1,Yes,Yes,52,Yes,DSL,91.22,2828.74,No
CUST0133,Male,0,No,Yes,47,Yes,No,43.91,6588.83,Yes
CUST0134,Female,0,Yes,Yes,69,Yes,No,95.96,5674.75,Yes
CUST0135,Female,0,No,Yes,67,Yes,No,22.25,969.05,Yes
CUST0136,Male,0,No,No,40,Yes,DSL,75.39,3008.29,No
CUST0137,Male,0,No,Yes,60,No,Fiber optic,51.07,6831.42,No
CUST0138,Male,0,Yes,Yes,59,Yes,No,103.23,3046.27,No
CUST0139,Female,0,Yes,Yes,61,Yes,Fiber optic,96.13,6934.12,Yes
CUST0140,Male,0,Yes,Yes,50,Yes,No,68.78,3619.12,No
CUST0141,Female,0,Yes,Yes,29,Yes,No,67.24,4560.51,Yes
CUST0142,Female,0,No,No,24,Yes,No,27.32,3176.17,No
CUST0143,Male,1,Yes,No,51,Yes,No,43.47,4945.63,No
CUST0144,Male,0,Yes,No,32,Yes,Fiber optic,90.72,4239.8,No
CUST0145,Female,0,Yes,Yes,53,Yes,DSL,26.56,6755.76,No
CUST0146,Male,0,Yes,Yes,70,Yes,No,98.73,7742.14,No
CUST0147,Female,0,Yes,No,22,Yes,Fiber optic,117.96,2384.63,No
CUST0148,Female,0,No,No,16,Yes,No,27.91,1318.76,No
